許可證字號,類別,中文品名,核可日期,申請商,證況,保健功效相關成分,保健功效,保健功效宣稱,警語,注意事項,網址
衛部健食字第A00436號,衛署健食字,益酸寧濃縮細粒,2022/10/24,科達製藥股份有限公司,核可,芍藥甙(Paeoniflorin)：1.16~1.74 mg/g (3.48~5.22 mg/包)甘草酸(Glycyrrhizic acid)：1.26~1.90 mg/g (3.78~5.70 mg/包),胃腸功能改善,經動物實驗結果：有助於胃黏膜之保護作用。,(1)本品已含鈣質相關成分，建議有補充鈣片或其他綜合維他命者應酌於考量。(2)有服用慢性病藥物者，應諮詢醫師後，方可使用。(3)不建議孕婦、授乳者及嬰幼兒食用。,(1)請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。(2)本產品含有幾丁聚醣(蝦來源)，不適合其過敏體質者食用。(3)本產品供保健用，請依建議攝取量食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1531
衛部健食字第A00437號,衛署健食字,氣冷雞滴雞精,2022/12/14,洽富實業股份有限公司,核可,總支鏈胺基酸(Leucine、Isoleucine、Valine) 264±53毫克/50毫升,抗疲勞,經動物實驗結果，有助於延緩運動疲勞發生。,支鏈有機酸尿症(楓糖尿症)患者應避免食用。,1.本產品供保健用，請依建議攝取量食用。2.痛風、高血壓及腎臟病患者飲用前請先諮詢醫師。3.嬰幼兒不建議飲用。4.開封後，請立即飲用完畢。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1533
衛部健食字第A00438號,衛署健食字,谷穩錠,2023/01/09,上浤醫藥生技股份有限公司,核可,大豆異黃酮苷素(Daidzein) 4.56~6.84 mg/g金雀異黃酮苷素(Genistein) 4.56~6.84 mg/g維生素D3 240~360 μg/100 g (2.4~3.6 μg/g),骨質保健,經動物實驗結果，攝取本產品可能有助於延緩骨流失。,1.不建議兒童、少年、孕婦、哺乳期婦女、婦科腫瘤患者或有其家族病史者食用。2.異黃酮(Isoflavones)每日食用限量為50毫克以下。3.本產品含大豆、魚類及其製品，不適合對其過敏體質者食用。4.一日勿超過4錠，多食無益。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1534
衛部健食字第A00439號,衛署健食字,BB神采速纖飲,2023/02/24,振翔生物科技有限公司,核可,牛磺酸：22.4 ~ 33.6 mg/g,抗疲勞功能,經動物實驗結果，有助於延緩運動後疲勞發生。,本品含有少量咖啡因，對咖啡因敏感者，請斟酌使用。,本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1535
衛部健食字第A00440號,衛署健食字,旨樂清膠囊,2023/05/22,精華生醫股份有限公司,核可,Monacolin K,調節血脂,經動物實驗結果：1.有助於降低血中三酸甘油酯2.有助於降低血中總膽固醇3.有助於降低血中低密度脂蛋白膽固醇,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。5.一日請勿超過2顆，多食無益。,1.請徵詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。4.本產品含有芝麻。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1538
衛部健食字第A00441號,衛署健食字,枳椇子朝鮮薊複方錠,2023/05/09,上浤醫藥生技股份有限公司,核可,五味子乙素（Schisandrin B）：0.31 ~ 0.46 mg/g芝麻素（Sesamin）：3.50 ~ 4.64 mg/g,護肝,經動物實驗結果：攝取本產品有助於延緩四氯化碳誘導之化學性肝損傷,一日請勿超過4錠，多食無益。,1.請徵詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。4.本產品含有芝麻。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1536
衛部健食字第A00455號,衛署健食字,倍勁®P健康機能飲,2024/10/30,三洋藥品工業股份有限公司,核可,牛磺酸： 1.41~2.12 g/180 mL (0.76 ~1.14 g/100 g)五味子乙素： 595~892 μg/180 mL(3.2 μg/g~4.8 μg/g),"抗疲勞, 護肝",一、保健功效項目【抗疲勞】經動物實驗結果，攝取本產品有助於延緩運動疲勞的發生及促進運動後疲勞消除。二、保健功效項目【護肝】經動物實驗結果，攝取本產品有助於延緩四氯化碳誘導之化學性肝損傷。,1.本品含五味子乙素，服用藥物(如降血壓、降膽固醇或精神科藥物)時，請徵詢醫師或藥師，注意相關藥物之交互作用。2.本品含咖啡因，過量容易對身體產生傷害，且勿與酒精或含咖啡因飲料混用。3.支鏈有機酸尿症(例如楓糖尿症)患者應避免食用。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品供保健用，請依建議攝取量食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1561
衛部健食字第A00456號,衛署健食字,愛之味純濃燕麥(職人專用),2025/03/03,愛之味股份有限公司,核可,β-聚葡萄糖(β-glucan) 344~516毫克/100毫升,免疫調節,經動物實驗結果：1. 有助於促進吞噬細胞活性。2. 有助於促進自然殺手細胞活性。3. 有助於總IgG、IgG1及IgM抗體分泌。,有過敏體質或自體免疫疾病者，請洽詢醫師意見小心食用。,1.請洽詢醫師或營養師有關食用本品之意見。2.均衡的飲食及適當的運動為身體健康之基礎。3.本產品供保健用，請依建議攝取量食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1563
衛部健食字第A00457號,衛署健食字,魚油複方膠囊,2025/05/05,上浤醫藥生技股份有限公司,核可,EPA 32~48 g/100 gDHA 24~36 g/100 g,調節血脂,經動物實驗結果：1.有助於降低血中三酸甘油酯。2.有助於降低血中總膽固醇。3.有助於降低血中低密度脂蛋白膽固醇。,1.嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。2.血液三酸甘油酯濃度≧500 mg/dL屬於極高危險濃度者，不建議單獨使用本品。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.本產品含有魚類及其製品，不適合對其過敏體質者食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1567
衛部健食字第A00458號,衛署健食字,大研德國極品魚油軟膠囊,2025/04/25,大研生醫國際股份有限公司,核可,EPA 391 ~ 529 mg/gDHA 259 ~ 351 mg/g,調節血脂,經動物實驗結果：1.有助於降低血中總膽固醇（TC）。2.有助於降低血中三酸甘油酯（TG）。3.有助於降低血中低密度脂蛋白膽固醇（LDL-C）。,1. 中風及心律不整病人應避免食用。2. 正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病病人，食用前請先徵詢醫師意見。3. 本產品含有魚類製品，不適合對其過敏體質者食用。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1566
衛部健食字第A00459號,衛署健食字,日月養生滴雞精,2025/05/16,芳茂企業股份有限公司,核可,總支鏈胺基酸(以Leucine、Isoleucine、Valine計)：0.4%~0.6%(w/w),抗疲勞,經人體食用研究結果，有助於延緩運動疲勞發生，並促進運動後疲勞消除。,◎ 支鏈有機酸尿症(例如楓糖尿症)患者應避免食用。,◎ 本產品供保健用，請依建議攝取量食用。◎ 痛風、高血壓及腎臟病患者飲用前請先諮詢醫師。◎ 嬰幼兒不建議飲用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1568
衛部健食字第A00460號,衛署健食字,鎂娜®紅景天膠囊,2025/06/02,豐山生技醫藥品股份有限公司,核可,絡薩維(Rosavin)：3.6 ± 0.72亳克/顆 膠囊,抗疲勞,經動物試驗結果，攝取本產品有助於延緩運動後疲勞的發生及促進運動後疲勞消除。,1. 15歲以下小孩、懷孕或授乳期間婦女，請勿食用。2. 有胃潰瘍體質者，建議應於餐後食用；對本產品有過敏反應者，請勿食用。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.均衡的飲食及適當運動為身體健康之基礎。4.若有服用藥物，請先洽詢醫師、藥師或營養師有關食用本品之意見，再決定是否食用。5.食用後請即關緊瓶蓋或收妥，防止受潮；置於兒童不易取得處避免誤食。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1569
衛部健食規字第000084號,衛署健食規字,保通紅麴膠囊,2024/11/27,優生生物科技股份有限公司,核可,每粒(0.595克)膠囊含HMG-CoA還原酵素抑制劑Monacolin K 2.65~3.93毫克,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥（statin及fibrate類藥物）、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1. 請徵詢醫師、藥師或營養師有關食用本品之意見。2. 本產品非藥品，供保健用，罹病者仍需就醫。3. 請依建議攝取量食用，勿過量。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1562
衛部健食規字第000085號,衛署健食規字,艾健康紅麴膠囊,2025/03/27,和司特股份有限公司,核可,HMG-CoA還原酵素抑制劑Monacolin K,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥（statin及fibrate類藥物）、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1564
衛部健食規字第000086號,衛署健食規字,速清紅麴膠囊,2025/04/18,和司特股份有限公司,核可,HMG-CoA還原酵素抑制劑(Monacolin K) 20-30毫克/公克,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥（statin及fibrate類藥物）、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=156
衛部健食規字第000087號,衛署健食規字,速霸清紅麴膠囊,2025/09/04,和司特股份有限公司,核可,Monacolin K：20 ~ 30 mg/g,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥（statin及fibrate類藥物）、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1574
衛部健食規字第000088號,衛署健食規字,活力清魚油軟膠囊,2025/09/15,和司特股份有限公司,核可,EPA23.0~30.0 g/100 gDHA15.0~20.0 g/100 g純度(EPA+DHA)38~50%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.本產品含有魚類及其製品，不適合對其過敏體質者食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1576
衛部健食規字第000089號,衛署健食規字,艾通魚油軟膠囊,2025/09/15,和司特股份有限公司,核可,EPA23.0~30.0 g/100 gDHA15.0~20.0 g/100 g純度(EPA+DHA)38~50%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.本產品含有魚類及其製品，不適合對其過敏體質者食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1581
衛署健食字第A00003號,衛署健食字,雙鶴極品靈芝,2000/07/24,勇健工業股份有限公司,核可,每份含多醣體225毫克，三萜類216毫克,"免疫調節, 護肝",(一)保健功效項目「免疫調節」根據動物及體外試驗結果，具有下列功效：(1)有助於促進抗體生成(2)有助於促進免疫細胞增生能力(3)有助於調節T細胞功能(4)有助於促進自然殺手細胞活性(5)有助於促進吞噬細胞活性(二)保健功效項目「護肝」根據動物試驗結果，對四氯化碳誘發大鼠肝臟的損傷，有下列功效：(1)有助於降低血清GOT、GPT值(2)有助於增加肝臟蛋白質含量,無,(1)膠囊:①請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。②本產品非藥品，供保健用，罹病者仍需就醫。③請依建議攝取量食用，勿過量。(2)粉劑:①請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。②本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=3
衛署健食字第A00004號,衛署健食字,如新華茂紅麴清醇膠囊,2000/07/24,美商如新華茂股份有限公司台灣分公司,核可,HMG-CoA 還原酵素抑制劑,調節血脂,經人體食用研究結果：1.有助於降低血中總膽固醇。2.有助於降低血中低密度脂蛋白膽固醇。3.有助於減少發生心血管疾病的危險因子。,(A)患有嚴重疾病、感染症、肝病或經外科手術等情況，請勿使用。(B)是否適用膽固醇之控制，應先諮詢醫師。(C)懷孕及授乳期間請勿食用。(D)本品與降血脂藥(Stain及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,(A)請小心存放，避免兒童取用。(B)請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。(C)本產品非藥品，供保健用，罹病者仍需就醫。(D)請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=4
衛署健食字第A00005號(本證失效),衛署健食字,歐妙精製魚油膠囊,2000/07/24,台灣阿斯特捷利康股份有限公司,失效,"EPA ethyl ester, DHA ethyl ester",調節血脂,1.有助於降低血中三酸甘油酯。,"1.併用抗凝血劑時需注意,可能會有出血時間延長現象,需嚴密監測並適時調整抗凝血劑。2.肝功能不良病人應定期監測肝功能指數。3.懷孕期間使用之安全性尚未確立,孕婦或可能懷孕之婦女不建議使用本品",,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=5
衛署健食字第A00006號,衛署健食字,統一AB原味優酪乳,2000/08/01,統一企業股份有限公司,核可,每100 毫升含雷特氏B 菌1*10^8 CFU 以上,胃腸功能改善,經人體食用研究結果，(1)雷特氏B菌能通過胃酸及膽酸考驗，有助於增加腸內益生菌。(2)有助於降低胃幽門螺旋桿菌之數量。,無,不可微波加熱。若有淡黃色液體上浮屬乳清析出現象，請搖勻後飲用。依建議攝取量460 毫升所含精緻糖24.3 公克，請注意熱量攝取。本產品不是藥品，胃潰瘍、十二指腸潰瘍患者，仍應及早就醫，請洽詢醫師或營養師有關食用本品之意見。均衡的飲食及適當的運動為身體健康之基礎。本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=196
衛署健食字第A00007號,衛署健食字,賜多利奶粉,2000/09/29,連法國際實業股份有限公司,核可,"特定免疫球蛋白G：4,000活性力價(Titer unit)/克以上(每份45公克/包：180,000 活性力價(Titer Unit)以上） 總免疫球蛋白G： 300毫克/100克以上(每份45公克/包：135毫克以上)","調節血脂, 免疫調節, 胃腸功能改善",(一)：保健功效項目「胃腸功能改善」：經動物實驗結果：(1) 有助於降低腸道細菌感染(2) 有助於增加腸內益生菌(二)：保健功效項目「調節血脂」：經人體食用研究結果：(1) 有助於降低血中總膽固醇(2) 有助於降低血中低密度脂蛋白膽固醇(3) 有助於減少動脈硬化之危險因子(三)：保健功效項目「免疫調節」：經動物實驗結果：(1) 有助於促進吞噬細胞活性(2) 有助於促進自然殺手細胞活性,․對牛奶過敏者不適飲用。․乳糖不耐者請遵循專業醫事人員建議飲用。․輕微乳糖不耐現象可每次減量使用，待適應後再逐漸增量。․請洽詢醫生或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。,本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=397
衛署健食字第A00008號,衛署健食字,高境界®免疫乳漿蛋白濃縮物,2000/10/20,笠達企業有限公司,核可,"非變性乳漿蛋白 (Whey Protein,undenatured form)",免疫調節,產品以動物及體外實驗的結果顯示： 可促進體液（非細胞性）免疫反應。,特別對乳漿蛋白過敏者，器官移植者，避免使用本產品。本產品含有牛乳製品。,請洽詢醫師或營養師有關使用本產品之意見，均衡的飲食及適當的運動為身體健康之基礎。本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=6
衛署健食字第A00009號(本證失效),衛署健食字,羅根雙歧桿菌,2000/11/22,味全食品工業股份有限公司,失效,雙歧桿菌BB536 （Bifidobacterium longum BB536）,胃腸功能改善,經動物實驗證實：有助於增加腸內益生菌。,,●請洽群醫師或營養師有關食用本品之意見，均衡飲食及適當運動為身體健康之基礎。●請勿讓孩童自行取用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=7
衛署健食字第A00187號,衛署健食字,全家營養奶粉,2010/12/10,佳格食品股份有限公司,核可,β-葡聚醣,免疫調節功能,經動物實驗結果：(1)有助於促進自然殺手細胞活性。(2)有助於促進免疫細胞增生能力。,有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。,1.請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.乳糖不耐症者請諮詢專業醫事人員建議飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=174
衛署健食字第A00188號(本證失效),衛署健食字,紐崔萊深海鮭魚油膠囊,2010/12/09,安麗日用品股份有限公司,失效,EPA;DHA,調節血脂,有助於降低血中總膽固醇。,【警語】：正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,注意事項: (1)食用前應徵詢醫師、藥師或營養師之意見；均衡 飲食及適當運動為身體健康基礎。 (2)本產品不能治療矯正任何疾病，有病者仍需就醫。 (3)多食或過量無益。(4)請勿任由而兒童自行取食。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=172
衛署健食字第A00189號(本證失效),衛署健食字,世華台灣金線連膠囊,2011/01/13,世華生物科技股份有限公司,失效,Kinsenoside,,根據動物試驗結果，對四氯化碳誘發之大鼠肝臟損傷，有助於降低血清中AST(GOT)和ALT(GPT)值。,警語： （1）婦女正值懷孕、授乳或體質特殊者，請洽詢醫師或營養師有關食用本品之意見。 （2）不宜過量攝取。,注意事項： （1）請小心存放避免兒童取用。（2）吸煙、飲酒會增加肝臟負擔，有傷害身體健康。（3）均衡飲食營養及適當運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=175
衛署健食字第A00190號,衛署健食字,利得牛樟芝固態培養菌絲體膠囊,2010/11/19,台灣利得生物科技股份有限公司,核可,可能總三萜(Possible Triterpenoids)：17.48~25.08 毫克/每份(2粒)腺苷(Adenosine)：0.18~0.26 毫克/每份(2粒),免疫調節,經動物實驗結果：1.有助於促進免疫細胞增生能力。2.有助於促進吞噬細胞活性。3.有助於促進自然殺手細胞活性。,1.有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。2.嬰幼兒、孕婦、哺餵母乳者，如欲食用本產品，請洽詢醫師或醫療專業人員。,1.目前接受醫師治療者，請與醫師商量後再食用。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。4.請避免孩童自行取用。5.食用過量可能有安全疑慮。6.均衡飲食及適當運動，為身體健康之基礎。7.為維持產品品質，開封後請於三個月內食用完畢。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=170
衛署健食字第A00191號,衛署健食字,桂格健康雙效燕麥片-堅果牛奶風味,2010/12/31,佳格食品股份有限公司,核可,ß-Glucan,"調節血脂, 免疫調節",(一)調節血脂功效經動物實驗結果：1.有助於降低血中總膽固醇。2.有助於降低血中低密度脂蛋白膽固醇。(二)免疫調節功效經動物實驗結果：1.有助於促進自然殺手細胞活性。2.有助於促進抗原專一性的T細胞增殖。,(1)本產品含砂糖，請注意熱量攝取。(2)攝取本產品應取代等量之日常榖類飲食。(3)多食無益。(4)有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。,(1)請洽詢醫師或營養師有關於食用本產品之意見；均衡的飲食及適當的運動為身體健康的基礎。(2)本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=407
衛署健食字第A00199號,衛署健食字,機能燕麥麵,2011/08/03,佳格食品股份有限公司,核可,β-聚葡萄糖（β-glucan）,"調節血脂功能, 不易形成體脂肪功能",【調節血脂】經動物實驗結果：1.有助於降低血中總膽固醇。2.有助於降低血中低密度脂蛋白膽固醇。3.有助於降低血中三酸甘油酯。4.有助於降低血中低密度脂蛋白膽固醇/高密度脂蛋白膽固醇之比值。【不易形成體脂肪】經動物實驗結果，有助於不易形成體脂肪。在嚴謹的營養均衡與熱量控制，以及適當的運動條件下，適量攝取本產品有助於不易形成體脂肪。,攝取本產品應取代等量之日常穀類飲食。,1. 請洽詢醫師或營養師有關於食用本產品之意見；均衡的飲食及適當的運動為身體健康的基礎。2. 本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=184
衛署健食字第A00200號(本證失效),衛署健食字,傑昇壓路基草本複方膠囊,2011/07/24,傑昇國際科技股份有限公司,失效,品管指標成分:丹參酮IIA（Tanshinone IIA）; 葛根素（Puerarin）,輔助調節血壓,有助於調降收縮壓,1.患有血友病、孕婦以及手術前後者，不宜食用。2.使用強心劑藥物者，應先徵詢醫生後小心使用。3.本產品不應替代藥品使用。,本產品不能取代正規醫療及相關藥品，使用前建議諮詢醫師的意見,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=183
衛署健食字第A00201號,衛署健食字,Dr. Hsu益生菌,2011/10/16,德和生物科技股份有限公司,核可,總乳酸菌(L.paracasei、L.acidophilus、L.rhamnosus、 B.longum)2×10^9 CFU/2 g(每包)以上。,"輔助調整過敏體質, 胃腸功能改善",輔助調整過敏體質經動物實驗結果：1. 有助於降低過敏反應相關之細胞激素IL-4及IL-5分泌。2. 有助於降低過敏反應相關之抗體IgE及IgG1分泌。 胃腸功能改善經動物實驗結果：有助於增加腸內益生菌,1.有免疫相關疾病者，請謹慎食用並諮詢醫師的意見。2.本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象，若有不適者，請停止使用。,1.請洽詢醫師或營養師有關食用本產品之意見，均衡的飲食及適當的運動為身體健康之基礎。2.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1499
衛署健食字第A00202號,衛署健食字,白蘭氏美妍纖棗飲,2011/10/21,馬來西亞商三得利食品飲料股份有限公司台灣分公司,核可,木寡醣(以水解木糖計);總膳食纖維,胃腸功能改善,1. 有助於增加腸內益菌。2. 有助於減少腸內害菌（Clostridium perfringens）。3. 有助於腸道運動。,1.如服藥期間、孕婦、哺乳中婦女或特殊體質者，請洽詢醫師後依指示飲用。2.本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象若有不適者，請停止食用。,1.請洽詢醫師或營養師有關食用本品之意見；均衡的飲食與適當的運動為身體健康之基礎。2.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=187
衛署健食字第A00203號(本證失效),衛署健食字,康貝兒PLUS乳酸菌,2011/12/18,葡眾企業股份有限公司,廢止,乳酸菌(（Enterococcus faecalis、Enterococcus faecium、Lactobacillus rhamnosus GG、Bifidobacterium bifidum、Bifidobacterium longum、Lactobacillus acidophilus、Lactobacillus brevis、Lactobacillus casei、Lactobacillus reuteri、Pediococcus pentosaceus）),"輔助調整過敏體質, 胃腸功能改善",(一)胃腸功能改善：有助於增加腸內益生菌。(二)輔助調整過敏體質：經動物實驗結果證實：有助於減少血清中特異性IgE抗體之生成。,1. 乳糖不耐者請遵詢專業醫事人員建議食用。輕微乳糖不耐者可每次減量食用，待適應後再逐漸增量。2. 有免疫力低下或自體免疫相關疾病者，食用前請洽詢醫師。動物實驗之功效與劑量是以成人為計算。,請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當之運動為身體健康之基礎。飲食或排便習慣出現異常者，請洽醫師。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=189
